district,division,Urban share,Poorest quintile,Richest quintile,No education,Secondary+,Aged 35-64,Overweight/obese,Hypertensive,Physically active,Current smoker
bagerhat,khulna,19.783641360466216,17.087909155604006,19.627194717087377,16.262415541759477,58.68513935228028,50.15130924283169,27.845628173840282,22.62837740467915,2.058218750006536,0.0
bandarban,chattogram,0.0,23.864458388247947,0.0,26.604183839617825,48.01730228979816,61.21124438586886,40.8074962572459,19.899062967844262,7.209806032552253,31.57894958157889
barguna,barishal,7.698238979125232,28.033811769249358,7.944571009832449,21.647714487417765,55.060542017528476,57.35427894480926,26.384386018951094,21.95007441487553,0.8494177221024355,5.9240999479178305
barishal,barishal,22.153769867419474,24.412089912285268,22.840727271617084,19.494641594255924,52.42395048396281,48.13125938513198,25.473195194891364,16.787146829133334,4.205161353177748,6.8014512084383165
bhola,barishal,16.255263592669692,33.4504212648141,12.136958155831877,25.230623540824343,42.776864265273694,45.38069604340606,26.149771827981883,17.26089633603285,2.434207399314683,8.853168024541509
bogura,rajshahi,22.130778435972758,19.929364756563903,21.174080329170764,26.498126003634287,51.264549105296055,51.12215189888614,26.498832202107348,19.101242054219977,0.0,5.502138848729638
brahmanbaria,chattogram,15.454696744086286,15.534853391595755,11.228133859678866,34.2450014725939,41.66014827967394,46.24776119419261,32.58082540882285,12.07728330610647,0.783261443625142,9.669943710693742
chandpur,chattogram,25.375680883924893,2.653699125867492,26.98967540901983,22.995679342535606,50.65342022499733,40.60097017412204,32.04066996368662,22.394930284818265,1.148483196514263,5.5660175360150435
chapai nawabganj,rajshahi,13.383580079509741,7.863306790608747,21.532173263193567,34.02654292958139,49.51354821741635,55.39244403228017,28.490935277690994,19.463262639978762,4.180492832187109,2.2427794387548685
chattogram,chattogram,40.87860318306498,9.184345532531747,30.65533623873144,21.738642526913317,55.96371263385483,46.98789296630164,30.04146464817321,23.169184612703656,0.5489634964739907,6.152867244105368
chuadanga,khulna,29.913498359285747,13.323729332348632,24.32386710200712,26.233354810107567,45.45016526647138,56.113240262866334,32.06817399501944,17.45046193192096,8.99472995275988,6.1879368800108
cox's bazar,chattogram,20.596892105531918,23.034347915548228,3.7865360851742054,28.96227531259086,28.541237070750253,33.959978219853824,39.67997148491052,14.301387130628433,1.7373745985461284,1.8932680425871027
cumilla,chattogram,18.83141612282436,9.599576479910995,17.69114555208895,24.477338753801263,50.668199486477896,45.86415283136395,27.979628167582117,17.684925781223402,2.2519029483803585,4.760163877124452
dhaka,dhaka,84.8097803633934,0.7645951434783113,50.526582532556134,18.961790674828354,56.015716771309975,47.59365913030327,36.96923916389617,22.13166964602129,2.170118556218017,4.428055336482753
dinajpur,rangpur,17.20999848671814,16.450904548127195,9.103745261432458,22.752668607808776,48.45540883870852,49.77610839225879,21.33109153805546,16.071118828114848,0.36529939511228143,8.478410225938795
faridpur,dhaka,0.0,30.796997185355856,11.145814051959606,25.092871039990015,43.01754725117267,48.13359639551136,28.949493143013722,16.290984757702294,9.051395890397975,7.694271023099914
feni,chattogram,17.76352403674715,4.4591980582462005,31.592589290098623,28.868384578665957,59.063935787745024,44.640543225484976,32.781651000232884,34.750216243339,0.0,3.6156087019801926
gaibandha,rangpur,5.211744851293869,32.65308616238895,5.448794003414468,33.73368209904981,46.356034530640095,51.55454106011279,20.352040508103915,20.042621871609715,0.9570645141097025,3.0856118784776028
gazipur,dhaka,49.76298818382801,3.1952296599040837,21.454050988284205,18.03688542057696,54.153149849117256,43.31669676939099,32.32133847262495,12.862870512309266,2.6928139227966463,12.134378504531778
gopalganj,dhaka,35.198159479095935,26.49323081551448,4.693087930546125,22.02417524678088,39.07320196986514,50.318815068868794,22.155712429555447,19.90166364332035,1.4458394619863442,12.092864426989006
habiganj,sylhet,16.326502824368124,22.300061663659523,15.297153783719985,26.515835902112645,40.240755499885836,45.147654495574756,15.074581728884196,16.24397927196634,4.699080044258307,23.235422693914202
jamalpur,mymensingh,15.910067561452554,40.1920868209586,7.697271245162001,41.83551562881911,35.452071578357035,53.14815037253594,15.803776578285694,16.064897292170166,3.4873899501398102,13.30478944622993
jashore,khulna,23.603675471902992,7.8617903962748565,27.50693422562067,18.937257238640047,58.6038441920765,49.281709568741334,28.354182094671305,20.325063447822153,1.1646613106638666,11.428331884840052
jhalokati,barishal,16.401402910385247,35.028128022605834,16.661188821631125,23.709855549451145,50.61463322157799,48.04489661642464,25.38182550985539,19.271051156680876,3.177367548923519,15.87843126571314
jhenaidah,khulna,24.41825176306966,15.21899280561327,19.505707541390663,35.66903432418915,45.8656860497128,51.71767400125509,27.344187650443498,20.119220616026727,9.308473923967393,6.703256226302276
joypurhat,rajshahi,10.733542098613098,12.31068453452268,15.538096093247264,26.22074805283394,51.48931333630399,58.737198461642116,26.644336712390555,11.641137457004879,0.0,1.6539732435782697
khagrachhari,chattogram,32.41119119100546,58.479854639582825,8.402901419890304,24.757948573244704,48.61860263864992,53.10190089989245,19.11836782126165,14.562571221859974,7.505080966843723,30.917618375214374
khulna,khulna,35.32928174737745,9.001139970315302,28.141397624017888,16.175672524142563,61.63936876487326,53.0420699410673,31.34355094749825,19.2389163006052,1.4863170925763576,6.647861721702079
kishoreganj,dhaka,14.623446018248709,23.250832711079326,14.170003234742556,24.872090152075508,47.37765465533361,46.9327428918184,9.948424472560761,18.884254918851326,4.479354646140927,13.324220796372725
kurigram,rangpur,23.738535049269853,30.06623126599764,8.538237935653143,28.604023972708504,47.17607640135631,46.81893795021777,24.024447409910202,23.505924618393724,0.22275836928634138,4.623678745954296
kushtia,khulna,15.254274410610307,14.318020200799145,13.741555588957954,26.358553164657856,48.825793857088776,54.40613213846294,38.67581237900673,26.346655943482865,7.109389046780365,3.398708232694778
lakshmipur,chattogram,26.455757890140934,15.46569472909995,27.567107556210967,18.068417543158382,56.62117397311853,44.83916764369802,38.01031802575076,25.92107102502264,4.029908921095421,8.059947360926738
lalmonirhat,rangpur,14.153774404457542,42.45405830873311,13.634877140882626,25.252356168345834,45.09465777274853,53.64733950928162,23.459386229389008,20.970458602579797,0.0,5.265986291325917
madaripur,dhaka,40.54264532609347,1.2302902696530602,23.282903813278537,13.63953512185593,63.88068621942923,44.230306357959414,41.098821716333475,14.490655574941435,2.5772742536070274,2.518927396456574
magura,khulna,13.080481799839564,16.92812173160686,8.261356926214463,29.67509797588753,47.20486360542449,51.00909937090773,28.079628829755706,24.64508112585965,2.7845500581820315,2.784675603472359
manikganj,dhaka,0.0,21.976424442976075,0.0,31.908457609081488,42.76169431134429,37.56374734175123,20.632928620143005,15.112641619235356,1.7358940443917386,1.7358940443917386
maulvibazar,sylhet,11.683951323544942,17.915570290498085,18.305450417041406,23.155810767893392,47.14757753506356,40.67723529682065,18.21166266564844,15.916727039869357,0.41438248952904067,5.039832134839005
meherpur,khulna,34.2537771411366,10.965107878304675,42.31929380619411,8.9648455425009,67.26786460018317,53.42290969128229,30.201150517483814,31.33307099752956,14.827124543128722,3.137118861512255
munshiganj,dhaka,65.62595036440929,0.0,19.04648905761766,26.801992288113542,44.60359179707321,36.43178084450266,41.69763985120794,17.36574487445655,0.0,6.8129244072913595
